Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
180,Mississippi State NCAA,35,21,14,0.6,14.24,9.21,8,10,11,4,2,8,2593,2417,1405,917,2027,0.452,251,781,0.321,508,758,0.67,436,1333,491,284,107,455,580
181,Mississippi Valley State,31,1,30,0.032,-26.18,-3.92,1,17,1,8,0,22,1719,2409,1245,613,1611,0.381,143,489,0.292,350,532,0.658,298,911,271,205,71,495,550
182,Missouri,32,8,24,0.25,3.3,7.33,0,18,6,11,2,10,2309,2438,1285,807,1838,0.439,233,730,0.319,462,583,0.792,293,992,390,245,154,370,642
183,Missouri State,33,17,16,0.515,1.02,1.05,8,12,9,5,4,10,2351,2352,1340,848,1931,0.439,223,711,0.314,432,608,0.711,335,1291,399,142,149,397,504
184,Monmouth,33,18,15,0.545,-3.16,-2.98,10,8,13,1,2,13,2390,2396,1321,860,1998,0.43,252,726,0.347,418,585,0.715,370,1167,432,236,114,345,559
185,Montana,36,24,12,0.667,-1.4,-4.1,12,6,13,3,8,7,2768,2586,1450,1007,2075,0.485,277,774,0.358,477,602,0.792,299,1227,537,172,107,371,600
186,Montana State NCAA,35,17,18,0.486,-5.32,-4.45,9,9,10,7,4,10,2635,2606,1420,941,2012,0.468,319,863,0.37,434,596,0.728,237,1068,463,289,84,408,647
187,Morehead State NCAA,35,26,9,0.743,0.56,-5.47,14,4,14,1,9,7,2635,2220,1400,944,2021,0.467,329,912,0.361,418,592,0.706,407,1372,526,206,160,413,553
188,Morgan State,31,11,20,0.355,-16.06,-5.88,7,7,8,5,3,12,2253,2402,1250,840,1862,0.451,148,505,0.293,425,561,0.758,338,1099,388,192,111,451,594
189,Mount St. Mary's,32,13,19,0.406,-6.54,-7.45,9,11,8,5,5,13,2327,2298,1295,876,1852,0.473,217,615,0.353,358,494,0.725,312,1125,423,221,125,465,496
190,Murray State,32,12,20,0.375,0.4,1.62,9,11,8,8,4,9,2232,2237,1285,821,1841,0.446,209,651,0.321,381,547,0.697,299,1048,369,192,88,304,490
